institution_name,institution_name_english,pretty_url,country,part_of,institution_type,institution_website,institution_wikidata,first_open_access_instance,first_open_access_instance_citation,open_access_scope,open_access_policy,tk_tce_policy,rights_statement_compliance,rights_statement_metadata,rights_statement_metadata_url,admission_policy,institution_api,institution_github,open_data_volume_name0,open_data_volume_number0,open_data_volume_url0,open_data_volume_name1,open_data_volume_number1,open_data_volume_url1,open_data_volume_name2,open_data_volume_number2,open_data_volume_url2,open_data_volume_name3,open_data_volume_number3,open_data_volume_url3,open_data_volume_name4,open_data_volume_number4,open_data_volume_url4,open_data_volume_name5,open_data_volume_number5,open_data_volume_url5
Biblioteca Nacional Aruba,National Library of Aruba,https://survey.glamelab.org/institutions/biblioteca-nacional-aruba,Aruba,,Library,https://www.bibliotecanacional.aw,https://www.wikidata.org/wiki/Q631808,2019,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,212,https://commons.wikimedia.org/wiki/Category:Media_contributed_by_Biblioteca_Nacional_Aruba,,,,,,,,,,,,,,,
Museo Nacional de Bellas Artes,National Museum of Fine Arts,https://survey.glamelab.org/institutions/museo-nacional-de-bellas-artes,Argentina,,Museum,https://www.bellasartes.gob.ar,https://www.wikidata.org/wiki/Q1848918,2015,,Some eligible data,,,Public domain,None,,Free,,,Wikimedia Commons,885,https://commons.wikimedia.org/wiki/Category:Files_provided_by_the_Museo_Nacional_de_Bellas_Artes,,,,,,,,,,,,,,,
Archivo General de la Nación Argentina,General Archive of the Argentine Nation,https://survey.glamelab.org/institutions/archivo-general-de-la-nacion-argentina,Argentina,,Archive,https://www.argentina.gob.ar/interior/archivo-general-de-la-nacion,https://www.wikidata.org/wiki/Q2860529,2015,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,"6,315",https://commons.wikimedia.org/wiki/Category:Files_provided_by_Archivo_General_de_la_Naci%C3%B3n_Argentina,,,,,,,,,,,,,,,
Museo Casa Rosada,Casa Rosada Museum,https://survey.glamelab.org/institutions/museo-casa-rosada,Argentina,,Museum,https://www.casarosada.gob.ar/la-casa-rosada/museo,https://www.wikidata.org/wiki/Q6034386,2012,,Some eligible data,,,Open,None,,Free,,,Wikimedia Commons,126,https://commons.wikimedia.org/wiki/Category:Files_provided_by_the_Museo_del_Bicentenario,,,,,,,,,,,,,,,
ABC Open Archives,ABC Open Archives,https://survey.glamelab.org/institutions/abc-open-archives,Australia,,Archive,https://www.abc.net.au/archives/openarchives.htm,https://www.wikidata.org/wiki/Q781365,2012,,Some eligible data,,,Open,None,,None,,,Wikimedia Commons,29,https://commons.wikimedia.org/wiki/Category:Files_from_the_Australian_Broadcasting_Corporation,,,,,,,,,,,,,,,
Biblioteca Feminaria,Feminaria Library,https://survey.glamelab.org/institutions/biblioteca-feminaria,Argentina,,Library,https://www.tierra-violeta.com.ar,https://www.wikidata.org/wiki/Q18592746,2015,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,57,https://commons.wikimedia.org/wiki/Category:Files_from_Biblioteca_Feminaria,,,,,,,,,,,,,,,
Archivo Histórico de la Provincia de Buenos Aires,Historical Archive of the Province of Buenos Aires,https://survey.glamelab.org/institutions/archivo-historico-de-la-provincia-de-buenos-aires,Argentina,,Archive,https://www.amigosarchivolevene.com.ar,https://www.wikidata.org/wiki/Q18581036,2014,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,"6,190",https://commons.wikimedia.org/wiki/Category:Files_from_the_Archivo_Hist%C3%B3rico_de_la_Provincia_de_Buenos_Aires,,,,,,,,,,,,,,,
Academia Argentina de Letras,Argentine Academy of Letters,https://survey.glamelab.org/institutions/academia-argentina-de-letras,Argentina,,Library,https://www.aal.edu.ar,https://www.wikidata.org/wiki/Q2057876,2015,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,"1,681",https://commons.wikimedia.org/wiki/Category:Files_from_Academia_Argentina_de_Letras,,,,,,,,,,,,,,,
Libraries & Archives NT,Libraries & Archives NT,https://survey.glamelab.org/institutions/libraries-and-archives-nt,Australia,,Library,https://lant.nt.gov.au/,https://www.wikidata.org/wiki/Q7059036,null,,Some eligible data,,,Open,None,,None,,,Trove,"39,907",https://trove.nla.gov.au/search/category/images?keyword=nuc%3AXNLS&l-rights=Free,,,,,,,,,,,,,,,
National Library of Australia,National Library of Australia,https://survey.glamelab.org/institutions/national-library-of-australia,Australia,,Library,https://www.nla.gov.au,https://www.wikidata.org/wiki/Q623578,null,,Some eligible data,https://www.nla.gov.au/about-this-site/copyright,https://www.nla.gov.au/copying-and-re-using-works-with-indigenous-cultural-content,Public domain,None,,None,,https://github.com/nla,Own website,0,https://www.nla.gov.au/collections,Flickr Commons,"1,222",https://www.flickr.com/photos/national_library_of_australia_commons/,,,,,,,,,,,,
Libraries Tasmania,Libraries Tasmania,https://survey.glamelab.org/institutions/libraries-tasmania,Australia,,Library,https://libraries.tas.gov.au,https://www.wikidata.org/wiki/Q6458744,null,,Some eligible data,,,Disclaimer,None,,None,,,Trove,17,https://trove.nla.gov.au/search/category/images?keyword=nuc%3ATSL&l-rights=Free&l-rights=Free%2FRS%20NKC,,,,,,,,,,,,,,,
Museum of Applied Arts and Sciences,Museum of Applied Arts and Sciences,https://survey.glamelab.org/institutions/museum-of-applied-arts-and-sciences,Australia,Powerhouse Museum,Museum,https://collection.powerhouse.com.au/,https://www.wikidata.org/wiki/Q2107035,null,,Some eligible data,,,Disclaimer,None,,Free,,https://github.com/museumofappliedartsandsciences,Flickr Commons,"2,527",https://www.flickr.com/photos/powerhouse_museum,,,,,,,,,,,,,,,
Eyre Peninsula Railway Preservation Society,Eyre Peninsula Railway Preservation Society,https://survey.glamelab.org/institutions/eyre-peninsula-railway-preservation-society,Australia,,Research institution,https://www.eprps.org.au,https://www.wikidata.org/wiki/Q85294488,null,,Some eligible data,,,Disclaimer,None,,None,,,Trove,473,https://trove.nla.gov.au/search/category/images?keyword=nuc%3ASEPR&l-rights=Free,,,,,,,,,,,,,,,
Australian War Memorial,Australian War Memorial,https://survey.glamelab.org/institutions/australian-war-memorial,Australia,,Museum,https://www.awm.gov.au,https://www.wikidata.org/wiki/Q782783,null,,Some eligible data,,,Disclaimer,None,,Free,,,Flickr Commons,279,https://www.flickr.com/photos/australian-war-memorial,,,,,,,,,,,,,,,
Blue Mountains Library (Local Studies),Blue Mountains Library (Local Studies),https://survey.glamelab.org/institutions/blue-mountains-library-local-studies,Australia,,Library,https://library.bmcc.nsw.gov.au,https://www.wikidata.org/wiki/Q28219999,null,,Some eligible data,,,Disclaimer,None,,None,,,Flickr,"2,223",https://www.flickr.com/photos/blue_mountains_library_-_local_studies,,,,,,,,,,,,,,,
Australian National Maritime Museum,Australian National Maritime Museum,https://survey.glamelab.org/institutions/australian-national-maritime-museum,Australia,,Museum,https://www.anmm.gov.au,https://www.wikidata.org/wiki/Q844329,2009,,Some eligible data,,,Disclaimer,None,,Paid,,,Flickr Commons,"3,566",https://www.flickr.com/photos/anmm_thecommons,,,,,,,,,,,,,,,
Royal Australian Historical Society,Royal Australian Historical Society,https://survey.glamelab.org/institutions/royal-australian-historical-society,Australia,,Research institution,https://www.rahs.org.au,https://www.wikidata.org/wiki/Q7373750,null,,Some eligible data,https://www.rahs.org.au/about-rahs/rahs-copyright-statement/,,Disclaimer,None,,None,,,Flickr Commons,"2,490",https://www.flickr.com/photos/royalaustralianhistoricalsociety,,,,,,,,,,,,,,,
Queensland University of Technology Digital Collections,Queensland University of Technology Digital Collections,https://survey.glamelab.org/institutions/queensland-university-of-technology-digital-collections,Australia,Queensland University of Technology,University,https://www.qut.edu.au,https://www.wikidata.org/wiki/Q1144750,null,,Some eligible data,,,Public domain,None,,None,,,Trove,"2,411",https://trove.nla.gov.au/search/category/images?keyword=nuc%3A%22QUT%3ADC%22&l-rights=Free,,,,,,,,,,,,,,,
Queensland State Archives,Queensland State Archives,https://survey.glamelab.org/institutions/queensland-state-archives,Australia,,Archive,https://www.qld.gov.au/recreation/arts/heritage/archives,https://www.wikidata.org/wiki/Q7271010,null,,Some eligible data,,,Public domain,None,,None,,,Flickr,"18,911",https://www.flickr.com/photos/queenslandstatearchives,,,,,,,,,,,,,,,
State Library Victoria,State Library Victoria,https://survey.glamelab.org/institutions/state-library-victoria,Australia,,Library,https://www.slv.vic.gov.au,https://www.wikidata.org/wiki/Q1200052,null,,Some eligible data,https://www.slv.vic.gov.au/images,,Disclaimer,None,,None,,https://github.com/statelibraryvic/opendata/find/master,Own website,0,https://www.slv.vic.gov.au/images,,,,,,,,,,,,,,,
Trove Digital Library,Trove Digital Library,https://survey.glamelab.org/institutions/trove-digital-library,Australia,,Aggregator,https://trove.nla.gov.au,https://www.wikidata.org/wiki/Q18609226,null,,Some eligible data,,,Disclaimer,None,,None,https://trove.nla.gov.au/about/create-something/using-api,,Trove,"5,338",https://trove.nla.gov.au/search/category/images?keyword=nuc%3A%22ANL%3ADL%22&l-rights=Free,,,,,,,,,,,,,,,
State Library of Queensland,State Library of Queensland,https://survey.glamelab.org/institutions/state-library-of-queensland,Australia,,Library,https://www.slq.qld.gov.au,https://www.wikidata.org/wiki/Q2050653,null,,Some eligible data,https://www.slq.qld.gov.au/home/copyright,https://www.slq.qld.gov.au/sites/default/files/www.slq.qld.gov.au/__data/assets/pdf_file/0006/64599/slq_-_protocols_for_indigenous_collections.pdf,Public domain,None,,None,,,Own website,0,https://onesearch.slq.qld.gov.au/discovery/search?vid=61SLQ_INST:SLQ,Flickr Commons,"9,913",https://www.flickr.com/people/statelibraryqueensland,,,,,,,,,,,,
Tasmanian Archives and State Library,Tasmanian Archives and State Library,https://survey.glamelab.org/institutions/tasmanian-archives-and-state-library,Australia,,Archive,https://www.libraries.tas.gov.au,https://www.wikidata.org/wiki/Q61095292,null,,Some eligible data,,https://www.flickr.com/photos/107895189@N03/53483825239/,Disclaimer,None,,None,,,Flickr Commons,"1,143",https://www.flickr.com/photos/107895189@N03,,,,,,,,,,,,,,,
State Library of New South Wales,State Library of New South Wales,https://survey.glamelab.org/institutions/state-library-of-new-south-wales,Australia,,Library,https://www.sl.nsw.gov.au,https://www.wikidata.org/wiki/Q6133813,null,,Some eligible data,,,Disclaimer,None,,None,,,Flickr Commons,"4,945",https://www.flickr.com/photos/statelibraryofnsw,,,,,,,,,,,,,,,
Geschichtliches Museum der Stadt St. Valentin,Historical Museum of the City of St. Valentin,https://survey.glamelab.org/institutions/geschichtliches-museum-der-stadt-st-valentin,Austria,,Museum,https://valentinmuseum.at,https://www.wikidata.org/wiki/Q87193287,null,,Some eligible data,,,Open,None,,Paid,,,Europeana,10,https://www.europeana.eu/collections/organisation/1482250000046878138-historical-museum-of-the-city-of-st.valentin,Aggregator,0,https://www.noemuseen.at/dipkatalognoemuseen/,,,,,,,,,,,,
Belvedere,Belvedere,https://survey.glamelab.org/institutions/belvedere,Austria,,Museum,https://www.belvedere.at,https://www.wikidata.org/wiki/Q303139,2022,,All eligible data,https://sammlung.belvedere.at/opencontent/images,,Open,None,,Paid,,,Own website,"5,487",https://sammlung.belvedere.at/search/*?,Europeana,"5,679",https://www.europeana.eu/en/collections/organisation/1482250000004477397-austrian-gallery-belvedere?page=1&reusability=open,,,,,,,,,,,,
University of Melbourne (Melbourne History Workshop),University of Melbourne (Melbourne History Workshop),https://survey.glamelab.org/institutions/university-of-melbourne-melbourne-history-workshop,Australia,University of Melbourne,University,https://www.unimelb.edu.au,https://www.wikidata.org/wiki/Q319078,null,,Some eligible data,,,Open,None,,None,,,Trove,324,https://trove.nla.gov.au/search/category/images?keyword=nuc%3A%22VU%3AMHW%22,,,,,,,,,,,,,,,
Institute for Botany - Herbarium WU,Institute for Botany - Herbarium WU,https://survey.glamelab.org/institutions/institute-for-botany-herbarium-wu,Austria,University of Vienna,University,https://herbarium.univie.ac.at/mycologicum.htm,https://www.wikidata.org/wiki/Q111338156,null,,Some eligible data,,,Open,None,,None,,,Europeana,"77,184",https://www.europeana.eu/en/collections/organisation/1167-herbarium-wu-institute-of-botany?page=1&reusability=open,,,,,,,,,,,,,,,
Albertina,Albertina,https://survey.glamelab.org/institutions/albertina,Austria,,Museum,https://www.albertina.at/,https://www.wikidata.org/wiki/Q371908,null,,All eligible data,https://www.albertina.at/en/research/reproduction/,,Public domain,None,,Paid,,,Own website,"167,966",https://sammlungenonline.albertina.at/?query=search=/record/objectnumbersearch=[10029]&showtype=record#/query/4db46a79-0681-444e-b402-4067f14ccbe2,Europeana,"146,462",https://www.europeana.eu/en/search?page=1&qf=RIGHTS%3A%2A%2Fpublicdomain%2Fmark%2F%2A&query=edm_datasetName%3A15508_%2A,,,,,,,,,,,,
Museum für Dorfkultur Großengersdorf,Museum of Village Culture Großengersdorf,https://survey.glamelab.org/institutions/museum-fuer-dorfkultur-grossengersdorf,Austria,,Museum,https://museum.grossengersdorf.com,https://www.wikidata.org/wiki/Q86909926,null,,Some eligible data,,,Public domain,None,,Paid,,,Europeana,101,https://www.europeana.eu/en/collections/organisation/823-museum-of-village-culture?page=1&reusability=open,Aggregator,0,https://www.noemuseen.at/dipkatalognoemuseen/,,,,,,,,,,,,
Akademie der bildenden Künste Wien,Academy of Fine Arts Vienna,https://survey.glamelab.org/institutions/akademie-der-bildenden-kuenste-wien,Austria,,University,https://www.akbild.ac.at,https://www.wikidata.org/wiki/Q414219,null,,Some eligible data,https://www.akbild.ac.at/Portal/bibliothek/repositorium/arepository_UserkonzeptundNutzungsbedingungen.pdf,,Public domain,None,,None,,,Own website,0,https://repository.akbild.ac.at,,,,,,,,,,,,,,,
Biologiezentrum der Oberösterreichischen Landesmuseen,Biological Center of the Upper Austrian State Museums,https://survey.glamelab.org/institutions/biologiezentrum-der-oberoesterreichischen-landesmuseen,Austria,,Museum,https://www.ooekultur.at/location-detail/biologiezentrum,https://www.wikidata.org/wiki/Q86051262,null,,Some eligible data,,,Open,None,,Free,,,Europeana,"91,679",https://www.europeana.eu/en/search?page=1&qf=COUNTRY%3A%22Austria%22&qf=TYPE%3A%22IMAGE%22&qf=DATA_PROVIDER%3A%22Biology%20Centre%20Linz%22&query=&reusability=open,,,,,,,,,,,,,,,
Museum moderner Kunst Stiftung Ludwig Wien,Museum of Modern Art Foundation Ludwig Vienna,https://survey.glamelab.org/institutions/museum-moderner-kunst-stiftung-ludwig-wien,Austria,,Museum,https://www.mumok.at/,https://www.wikidata.org/wiki/Q689951,null,,Some eligible data,,,Public domain,None,,Paid,,,Europeana,1,https://www.europeana.eu/en/search?query=&qf=COUNTRY%3A%22Austria%22&qf=TYPE%3A%22IMAGE%22&qf=DATA_PROVIDER%3A%22Museum%20moderner%20Kunst%20Stiftung%20Ludwig%20Wien%22&reusability=open,,,,,,,,,,,,,,,
"Herbarium, Karl-Franzens-Universität Graz","Herbarium, University of Graz",https://survey.glamelab.org/institutions/herbarium-karl-franzens-universitaet-graz,Austria,University of Graz,University,https://botanik.uni-graz.at,https://www.wikidata.org/wiki/Q59340662,null,,Some eligible data,,,Open,None,,None,,,Europeana,"9,915",https://www.europeana.eu/en/search?page=1&qf=DATA_PROVIDER%3A%22University%20of%20Graz%2C%20Institute%20of%20Plant%20Sciences%20%5C-%20Herbarium%20GZU%22&query=&reusability=open&view=grid,,,,,,,,,,,,,,,
Österreichische Akademie der Wissenschaften,Austrian Academy of Sciences,https://survey.glamelab.org/institutions/oesterreichische-akademie-der-wissenschaften,Austria,,University,https://www.oeaw.ac.at ,https://www.wikidata.org/wiki/Q299015,null,,Some eligible data,,,Open,None,,None,,,Europeana,439,https://www.europeana.eu/en/search?page=1&qf=COUNTRY%3A%22Austria%22&qf=DATA_PROVIDER%3A%22Austrian%20Academy%20of%20Sciences%22&query=&reusability=open,,,,,,,,,,,,,,,
Österreichisches Filmmuseum,Austrian Film Museum,https://survey.glamelab.org/institutions/oesterreichisches-filmmuseum,Austria,,Museum,https://www.filmmuseum.at ,https://www.wikidata.org/wiki/Q306604,null,,Some eligible data,,,Public domain,None,,Paid,,,Europeana,351,https://www.europeana.eu/search?query=&qf=COUNTRY%3A%22Austria%22&qf=DATA_PROVIDER%3A%22Austrian%20Film%20Museum%22&reusability=open,,,,,,,,,,,,,,,
Universalmuseum Joanneum,Universalmuseum Joanneum,https://survey.glamelab.org/institutions/universalmuseum-joanneum,Austria,,Museum,https://www.museum-joanneum.at,https://www.wikidata.org/wiki/Q29016682,null,,Some eligible data,,,Open,None,,Paid,,,Europeana,"69,338",https://www.europeana.eu/en/collections/organisation/998-herbarium-of-landesmuseums-joanneum?page=1&reusability=open,,,,,,,,,,,,,,,
Österreichische Nationalbibliothek,Austrian National Library,https://survey.glamelab.org/institutions/oesterreichische-nationalbibliothek,Austria,,Library,https://www.onb.ac.at,https://www.wikidata.org/wiki/Q304037,null,,Some eligible data,,,Public domain,None,,None,,,Europeana,"419,945",https://www.europeana.eu/en/search?page=1&qf=DATA_PROVIDER%3A%22Austrian%20National%20Library%22&query=%C3%96sterreichische%20Nationalbibliothek&reusability=open,,,,,,,,,,,,,,,
Museum Retz,Retz Museum,https://survey.glamelab.org/institutions/museum-retz,Austria,,Museum,https://www.museumretz.at,https://www.wikidata.org/wiki/Q87056508,null,,Some eligible data,,,Open,None,,Paid,,,Europeana,51,https://www.europeana.eu/search?page=1&qf=COUNTRY%3A%22Austria%22&qf=DATA_PROVIDER%3A%22Retz%20Museum%22&query=&reusability=open&view=grid,,,,,,,,,,,,,,,
Sammlung Andreas Gruber,Collection Andreas Gruber,https://survey.glamelab.org/institutions/sammlung-andreas-gruber,Austria,,Private collection,,https://www.wikidata.org/wiki/Q121266154,null,,Some eligible data,,,Public domain,None,,None,,,Aggregator,75,https://www.daguerreobase.org/en/collections/tmpl/index?f_string_collection_name%5B0%5D=Sammlung+Andreas+Gruber%2C+Austria,Europeana,68,https://www.europeana.eu/en/search?query=&qf=COUNTRY%3A%22Europe%22&qf=TYPE%3A%22IMAGE%22&qf=DATA_PROVIDER%3A%22Sammlung%20Andreas%20Gruber%2C%20Austria%22&reusability=open,,,,,,,,,,,,
Stadtmuseum Alte Hofmühle Hollabrunn,City Museum Alte Hofmühle Hollabrunn,https://survey.glamelab.org/institutions/stadtmuseum-alte-hofmuehle-hollabrunn,Austria,,Museum,https://www.stadtmuseum-hollabrunn.at,https://www.wikidata.org/wiki/Q18631070,null,,Some eligible data,,,Public domain,None,,Paid,,,Europeana,59,https://www.europeana.eu/en/collections/organisation/818-city-museum-hollabrunn-old-court-mill?page=1&reusability=open,Aggregator,0,https://www.noemuseen.at/dipkatalognoemuseen/,,,,,,,,,,,,
University of Graz,University of Graz,https://survey.glamelab.org/institutions/university-of-graz,Austria,,University,https://www.uni-graz.at/en/,https://www.wikidata.org/wiki/Q622683,null,,Some eligible data,,,Open,None,,None,,,Europeana,"7,493",https://www.europeana.eu/en/search?query=&qf=COUNTRY%3A%22Austria%22&qf=TYPE%3A%22IMAGE%22&qf=DATA_PROVIDER%3A%22University%20of%20Graz%22&reusability=open,,,,,,,,,,,,,,,
Schaubetrieb Ofenkachelmanufaktur Erndt,Showroom of the Tile Manufacture Erndt,https://survey.glamelab.org/institutions/schaubetrieb-ofenkachelmanufaktur-erndt,Austria,,Corporation,https://www.erndt.at/wordpress/ueber-uns/schaubetrieb-kachelofenmanufaktur/,https://www.wikidata.org/wiki/Q121266156,null,,Some eligible data,,,Public domain,None,,None,,,Europeana,308,https://www.europeana.eu/en/collections/organisation/714-working-museum-of-the-stove-tile-manufacturer-erndt?page=1&reusability=open,Aggregator,0,https://www.noemuseen.at/dipkatalognoemuseen/,,,,,,,,,,,,
Naturhistorisches Museum Wien,Natural History Museum Vienna,https://survey.glamelab.org/institutions/naturhistorisches-museum-wien,Austria,,Museum,https://www.nhm-wien.ac.at,https://www.wikidata.org/wiki/Q688704,null,,Some eligible data,,,Open,None,,Paid,,,Europeana,"127,940","https://www.europeana.eu/en/collections/organisation/1482250000004511841-natural-history-museum,-vienna?page=1&reusability=open",,,,,,,,,,,,,,,
Centrum Agrarische Geschiedenis (CAG),Center for Agricultural History (CAG),https://survey.glamelab.org/institutions/centrum-agrarische-geschiedenis-cag,Belgium,,Aggregator,https://cagnet.be,https://www.wikidata.org/wiki/Q56676085,null,,Some eligible data,https://cagnet.be/page/copyright-gebruiksvoorwaarden,,Open,None,,None,,,Own website,0,https://cagnet.be/page/beeldbank,,,,,,,,,,,,,,,
Collectie Herman Maes,Herman Maes Collection,https://survey.glamelab.org/institutions/collectie-herman-maes,Belgium,,Archive,,https://www.wikidata.org/wiki/Q121266143,null,,Some eligible data,,,Open,None,,None,,,Aggregator,322,https://www.daguerreobase.org/en/collections/tmpl/index?f_string_collection_name%5B0%5D=Collectie+Herman+Maes%2C+Belgium,Europeana,309,https://www.europeana.eu/en/collections/organisation/719-collectie-herman-maes?page=1&reusability=open,,,,,,,,,,,,
Cinémathèque Royale de Belgique,Cinematek,https://survey.glamelab.org/institutions/cinematheque-royale-de-belgique,Belgium,,Visitor attraction,https://www.cinematek.be,https://www.wikidata.org/wiki/Q2419294,null,,Some eligible data,,,Public domain,None,,None,,,Europeana,137,https://www.europeana.eu/en/collections/organisation/3968-royal-film-archive-of-belgium-cinematek?page=1&reusability=open,,,,,,,,,,,,,,,
CIVA,CIVA,https://survey.glamelab.org/institutions/civa,Belgium,,Museum,https://www.civa.brussels,https://www.wikidata.org/wiki/Q55753387,null,,Some eligible data,,,Public domain,None,,Free,,,Wikimedia Commons,0,https://commons.wikimedia.org/wiki/Category:Images_from_Fondation_CIVA,,,,,,,,,,,,,,,
Gallo-Romeins Museum,Gallo-Roman Museum,https://survey.glamelab.org/institutions/gallo-romeins-museum,Belgium,,Museum,https://www.galloromeinsmuseum.be,https://www.wikidata.org/wiki/Q1492516,null,,Some eligible data,,,Public domain,None,,Paid,,,Wikimedia Commons,154,https://commons.wikimedia.org/wiki/Category:Images_from_Gallo-Roman_Museum_Tongeren,,,,,,,,,,,,,,,
Agentschap Onroerend Erfgoed,Agency for Immovable Heritage,https://survey.glamelab.org/institutions/agentschap-onroerend-erfgoed,Belgium,,Research institution,https://www.onroerenderfgoed.be,https://www.wikidata.org/wiki/Q3262326,2019,,All eligible data,https://beeldbank.onroerenderfgoed.be/hergebruik,,Open,None,,None,https://beeldbank.onroerenderfgoed.be/api_doc,https://github.com/OnroerendErfgoed,Own website,"519,049",https://beeldbank.onroerenderfgoed.be,,,,,,,,,,,,,,,
FelixArchief,Felix Archive,https://survey.glamelab.org/institutions/felixarchief,Belgium,,Archive,https://www.felixarchief.be,https://www.wikidata.org/wiki/Q29016912,null,,Some eligible data,https://felixarchief.antwerpen.be/nieuwspagina/Wikimedia,,Public domain,None,,None,,,Wikimedia Commons,"1,343",https://commons.wikimedia.org/wiki/Category:Images_from_FelixArchief,,,,,,,,,,,,,,,
Groeningemuseum,Groeninge Museum,https://survey.glamelab.org/institutions/groeningemuseum,Belgium,,Museum,https://www.visitbruges.be/nl/groeningemuseum,https://www.wikidata.org/wiki/Q1948674,null,,Some eligible data,,,Public domain,None,,Paid,,,Wikimedia Commons,886,https://commons.wikimedia.org/wiki/Category:Images_from_the_Groeningemuseum,,,,,,,,,,,,,,,
Wienbibliothek im Rathaus,Vienna Library in the City Hall,https://survey.glamelab.org/institutions/wienbibliothek-im-rathaus,Austria,,Library,https://www.wienbibliothek.at,https://www.wikidata.org/wiki/Q2568831,null,,Some eligible data,,,Public domain,None,,None,,,Europeana,"17,608",https://www.europeana.eu/en/collections/organisation/1482250000004517551-vienna-city-library?page=1&reusability=open,,,,,,,,,,,,,,,
Gruuthuse Museum,Gruuthuse Museum,https://survey.glamelab.org/institutions/gruuthuse-museum,Belgium,,Museum,https://www.museabrugge.be/bezoek-onze-musea/onze-musea-en-monumenten/gruuthusemuseum,https://www.wikidata.org/wiki/Q1108949,null,,Some eligible data,,,Public domain,None,,Paid,,,Wikimedia Commons,30,https://commons.wikimedia.org/wiki/Category:Images_from_the_Gruuthuse_Museum,,,,,,,,,,,,,,,
King Baudouin Foundation,King Baudouin Foundation,https://survey.glamelab.org/institutions/king-baudouin-foundation,Belgium,,Private collection,https://www.kbs-frb.be,https://www.wikidata.org/wiki/Q2780100,null,,Some eligible data,,,Open,None,,None,,,Wikimedia Commons,"1,489",https://commons.wikimedia.org/wiki/Category:Images_from_the_King_Baudouin_Foundation,,,,,,,,,,,,,,,
Koninklijke Bibliotheek van België,Royal Library of Belgium,https://survey.glamelab.org/institutions/koninklijke-bibliotheek-van-belgie,Belgium,,Library,https://www.kbr.be,https://www.wikidata.org/wiki/Q383931,null,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,"3,059",https://commons.wikimedia.org/wiki/Category:Images_from_the_Royal_Library_of_Belgium,,,,,,,,,,,,,,,
Jakob Smitsmuseum,Jakob Smits Museum,https://survey.glamelab.org/institutions/jakob-smitsmuseum,Belgium,,Museum,https://www.jakobsmits.be,https://www.wikidata.org/wiki/Q2595341,null,,Some eligible data,,,Public domain,None,,Paid,,,Wikimedia Commons,250,https://commons.wikimedia.org/wiki/Category:Works_in_the_collection_of_Jakob_Smitsmuseum,,,,,,,,,,,,,,,
Industriemuseum,Industrial Museum,https://survey.glamelab.org/institutions/industriemuseum,Belgium,,Museum,https://www.industriemuseum.be,https://www.wikidata.org/wiki/Q2245203,null,,Some eligible data,https://www.industriemuseum.be/nl/disclaimer,,Public domain,None,,Paid,,,Own website,"7,588",https://www.industriemuseum.be/nl/collecties?&order=desc&sort=relevance&license=0,,,,,,,,,,,,,,,
Horta Museum,Horta Museum,https://survey.glamelab.org/institutions/horta-museum,Belgium,,Museum,https://www.hortamuseum.be,https://www.wikidata.org/wiki/Q1995367,null,,Some eligible data,,,Public domain,None,,Paid,,,Wikimedia Commons,44,https://commons.wikimedia.org/wiki/Category:Images_from_the_Victor_Horta_Museum,,,,,,,,,,,,,,,
Koninklijk Instituut voor het Kunstpatrimonium,Royal Institute for Cultural Heritage,https://survey.glamelab.org/institutions/koninklijk-instituut-voor-het-kunstpatrimonium,Belgium,,University,https://www.kikirpa.be,https://www.wikidata.org/wiki/Q2235462,null,,Some eligible data,https://balat.kikirpa.be/intro.php,,Open,None,,None,,,Europeana,"3,700",https://www.europeana.eu/en/collections/organisation/4490-royal-institute-for-cultural-heritage?page=1&reusability=open,Aggregator,0,https://balat.kikirpa.be/,,,,,,,,,,,,
KOERS Museum van de wielersport,KOERS Museum of Cycling,https://survey.glamelab.org/institutions/koers-museum-van-de-wielersport,Belgium,,Museum,https://koersmuseum.be,https://www.wikidata.org/wiki/Q1966865,null,,Some eligible data,,,Open,None,,Paid,,,Wikimedia Commons,604,https://commons.wikimedia.org/wiki/Category:Uploads_by_KOERS._Museum_van_de_Wielersport,,,,,,,,,,,,,,,
Koninklijk Museum voor Schone Kunsten Antwerpen,Royal Museum of Fine Arts Antwerp,https://survey.glamelab.org/institutions/koninklijk-museum-voor-schone-kunsten-antwerpen,Belgium,,Museum,https://kmska.be,https://www.wikidata.org/wiki/Q1471477,null,,All eligible data,https://kmska.be/nl/disclaimer,,Public domain,None,,Paid,,,Own website,"9,395",https://kmska.be/nl/overzicht/de-collectie,Aggregator,"5,000",https://artinflanders.be/en/search?f%5B0%5D=artwork_collection_taxonomy_term_name%3Akmska,Wikimedia Commons,759,https://commons.wikimedia.org/wiki/Category:Images_from_the_Royal_Museum_of_Fine_Arts_Antwerp,,,,,,,,,
