institution_name,institution_name_english,pretty_url,country,part_of,institution_type,institution_website,institution_wikidata,first_open_access_instance,first_open_access_instance_citation,open_access_scope,open_access_policy,tk_tce_policy,rights_statement_compliance,rights_statement_metadata,rights_statement_metadata_url,admission_policy,institution_api,institution_github,open_data_volume_name0,open_data_volume_number0,open_data_volume_url0,open_data_volume_name1,open_data_volume_number1,open_data_volume_url1,open_data_volume_name2,open_data_volume_number2,open_data_volume_url2,open_data_volume_name3,open_data_volume_number3,open_data_volume_url3,open_data_volume_name4,open_data_volume_number4,open_data_volume_url4,open_data_volume_name5,open_data_volume_number5,open_data_volume_url5
Carnegie Hall Archives,Carnegie Hall Archives,https://survey.glamelab.org/institutions/carnegie-hall-archives,United States of America,,Archive,https://www.carnegiehall.org,https://www.wikidata.org/wiki/Q72288432,2019,https://web.archive.org/web/2021*/https://www.carnegiehall.org/About/Press/Press-Releases/2019/10/03/Digital-Collections-Preview-10-2-2019,All eligible data,https://www.carnegiehall.org/Terms-and-Conditions,,Public domain,None,,None,,,Own website,"85,000",collections.carnegiehall.org,,,,,,,,,,,,,,,
Clark Art Institute,Clark Art Institute,https://survey.glamelab.org/institutions/clark-art-institute,United States of America,,University,https://www.clarkart.edu,https://www.wikidata.org/wiki/Q1465805,2019,https://web.archive.org/web/20220125091637/https://www.clarkart.edu/About/Press-Room/Press-Releases/2019/Open-Access-9-26,All eligible data,https://www.clarkart.edu/museum/collections/image-resources,,Public domain,None,,Paid,,,Own website,"2,700",https://www.clarkart.edu/museum/Collections,,,,,,,,,,,,,,,
Cleveland Museum of Art,Cleveland Museum of Art,https://survey.glamelab.org/institutions/cleveland-museum-of-art,United States of America,,Museum,https://www.clevelandart.org,https://www.wikidata.org/wiki/Q657415,2019,https://web.archive.org/web/20211216063358/https://www.clevelandart.org/open-access,All eligible data,https://www.clevelandart.org/open-access,,Public domain,CC0,https://www.clevelandart.org/open-access,Free,https://openaccess-api.clevelandart.org,https://github.com/ClevelandMuseumArt,Own website,"36,128",https://www.clevelandart.org/art/collection/search?i=1&only-open-access=1,,,,,,,,,,,,,,,
"Cooper-Hewitt, National Design Museum","Cooper-Hewitt, National Design Museum",https://survey.glamelab.org/institutions/cooper-hewitt-national-design-museum,United States of America,,Museum,https://www.cooperhewitt.org,https://www.wikidata.org/wiki/Q1129820,2020,https://web.archive.org/web/20220107180541/https://www.smithsonianmag.com/smithsonian-institution/smithsonian-releases-28-million-images-public-domain-180974263/,All eligible data,https://www.si.edu/Termsofuse,,Public domain,CC0,https://www.si.edu/Termsofuse,Paid,https://collection.cooperhewitt.org/api,https://github.com/cooperhewitt,Own website,"43,167",https://collections.si.edu/search/results.htm?media.CC0=true&q=&fq=online_visual_material%3Atrue&fq=data_source:%22Cooper+Hewitt%2C+Smithsonian+Design+Museum%22,,,,,,,,,,,,,,,
Freer Gallery of Art,Freer Gallery of Art,https://survey.glamelab.org/institutions/freer-gallery-of-art,United States of America,Smithsonian Institution,Gallery,https://asia.si.edu,https://www.wikidata.org/wiki/Q1075126,2020,https://web.archive.org/web/20220107180541/https://www.smithsonianmag.com/smithsonian-institution/smithsonian-releases-28-million-images-public-domain-180974263/,All eligible data,https://www.si.edu/Termsofuse,https://www.si.edu/openaccess/faq,Public domain,CC0,https://www.si.edu/Termsofuse,Free,https://www.si.edu/openaccess/devtools,https://github.com/Smithsonian,Own website,"3,135",https://collections.si.edu/search/gallery.htm?og=freer-gallery-sackler-gallery-archives,,,,,,,,,,,,,,,
Grand Rapids Public Museum,Grand Rapids Public Museum,https://survey.glamelab.org/institutions/grand-rapids-public-museum,United States of America,,Museum,https://www.grpm.org,https://www.wikidata.org/wiki/Q7257470,1905,https://web.archive.org/web/20210118134833/https://www.grmag.com/look-feel/grand-rapids-public-museum-makes-collections-images-available-for-free/,All eligible data,https://grpmcollections.org/About/Terms,,Public domain,CC0,https://grpmcollections.org/About/Terms,Paid,,,Own website,"50,000",https://grpmcollections.org/Browse/objects/removeCriterion/decade_facet/removeID/1950s/view/images/key/07a770fc3cf360b09d0652c0fdbc2aaa,,,,,,,,,,,,,,,
Hirshhorn Museum and Sculpture Garden,Hirshhorn Museum and Sculpture Garden,https://survey.glamelab.org/institutions/hirshhorn-museum-and-sculpture-garden,United States of America,Smithsonian Institution,Other,https://hirshhorn.si.edu,https://www.wikidata.org/wiki/Q1620553,2020,https://web.archive.org/web/20220107180541/https://www.smithsonianmag.com/smithsonian-institution/smithsonian-releases-28-million-images-public-domain-180974263/,All eligible data,https://www.si.edu/Termsofuse,https://www.si.edu/openaccess/faq,Public domain,CC0,https://www.si.edu/Termsofuse,None,https://www.si.edu/openaccess/devtools,https://github.com/Smithsonian,Own website,424,https://collections.si.edu/search/results.htm?q=&media.CC0=true&fq=data_source:%22Hirshhorn+Museum+and+Sculpture+Garden%22,,,,,,,,,,,,,,,
Indianapolis Museum of Art at Newfields,Indianapolis Museum of Art at Newfields,https://survey.glamelab.org/institutions/indianapolis-museum-of-art-at-newfields,United States of America,,Museum,https://discovernewfields.org,https://www.wikidata.org/wiki/Q1117704,2015,https://www.prweb.com/releases/indianapolis_museum_of_art_launches_new_online_collection/prweb12616903.htm,All eligible data,https://discovernewfields.org/research/image-resources,https://collections.discovernewfields.org/art/provenance-research/local-contexts?searchTerm=,Public domain,None,,Paid,,https://github.com/IMAmuseum,Own website,"10,501",https://collection.imamuseum.org/results.html?query=public%20domain&has_image=T,,,,,,,,,,,,,,,
J. Paul Getty Trust,J. Paul Getty Trust,https://survey.glamelab.org/institutions/j-paul-getty-trust,United States of America,,Museum,https://www.getty.edu,https://www.wikidata.org/wiki/Q2919540,2013,https://web.archive.org/web/20210805025317/https://blogs.getty.edu/iris/open-content-an-idea-whose-time-has-come/,All eligible data,https://www.getty.edu/about/whatwedo/opencontent.html,,Public domain,None,,Free,,https://github.com/thegetty,Own website,"152,550",https://search.getty.edu/gateway/search?q=&cat=highlight&f=%22Open+Content+Images%22&rows=10&srt=a&dir=s&pg=1,Own website,"88,120",https://www.getty.edu/art/collection/search?open_content=true,Flickr Commons,72,https://www.flickr.com/photos/gettyresearchinstitute/,,,,,,,,,
Metropolitan Museum of Art,Metropolitan Museum of Art,https://survey.glamelab.org/institutions/metropolitan-museum-of-art,United States of America,,Museum,https://www.metmuseum.org,https://www.wikidata.org/wiki/Q160236,2017,https://web.archive.org/web/20211207111656/https://www.metmuseum.org/press/news/2017/open-access,All eligible data,https://www.metmuseum.org/information/terms-and-conditions,,Public domain,CC0,https://www.metmuseum.org/policies/terms-and-conditions,Paid,,https://github.com/metmuseum/openaccess,Own website,"492,000",https://www.metmuseum.org/art/collection/search?showOnly=withImage%7CopenAccess&pageSize=0&sortBy=Relevance&sortOrder=asc&searchField=All,Wikimedia Commons,"388,898",https://commons.wikimedia.org/wiki/Category:Images_from_Metropolitan_Museum_of_Art,,,,,,,,,,,,
NASA,NASA,https://survey.glamelab.org/institutions/nasa,United States of America,,Government,https://www.nasa.gov,https://www.wikidata.org/wiki/Q23548,2014,https://web.archive.org/web/20210930162553/https://ntrs.nasa.gov/citations/20150020926,All eligible data,https://www.nasa.gov/multimedia/guidelines/index.html,,Public domain,Public Domain Mark,https://www.nasa.gov/multimedia/guidelines/index.html,None,https://api.nasa.gov,https://github.com/nasa,Own website,"140,000",https://images.nasa.gov,Flickr Commons,"3,432",https://www.flickr.com/photos/nasacommons,,,,,,,,,,,,
National Air and Space Museum,National Air and Space Museum,https://survey.glamelab.org/institutions/national-air-and-space-museum,United States of America,Smithsonian Institution,Museum,https://airandspace.si.edu,https://www.wikidata.org/wiki/Q752669,2020,https://web.archive.org/web/20220107180541/https://www.smithsonianmag.com/smithsonian-institution/smithsonian-releases-28-million-images-public-domain-180974263/,All eligible data,https://www.si.edu/Termsofuse,https://www.si.edu/openaccess/faq,Public domain,CC0,https://www.si.edu/Termsofuse,Free,https://www.si.edu/openaccess/devtools,https://github.com/Smithsonian,Own website,986,https://collections.si.edu/search/results.htm?q=&media.CC0=true&fq=data_source:%22National+Air+and+Space+Museum%22,,,,,,,,,,,,,,,
National Gallery of Art,National Gallery of Art,https://survey.glamelab.org/institutions/national-gallery-of-art,United States of America,,Gallery,https://www.nga.gov,https://www.wikidata.org/wiki/Q214867,2014,https://web.archive.org/web/20211023204802/https://www.nga.gov/press/2014/nga-online-editions.html,All eligible data,https://images.nga.gov/en/page/openaccess.html,,Public domain,Public Domain Mark,https://www.nga.gov/notices/open-access-policy.html,Free,,https://github.com/NationalGalleryOfArt/opendata,Own website,"54,939",https://images.nga.gov/en/search/show_advanced_search_page/?service=search&action=do_advanced_search&language=en&form_name=default&all_words=&exact_phrase=&exclude_words=&artist_last_name=&keywords_in_title=&accession_number=&school=&Classification=&medium=&year=&year2=&open_access=Open+Access+Available,Wikimedia Commons,"54,144",https://commons.wikimedia.org/wiki/Category:Images_from_the_National_Gallery_of_Art,,,,,,,,,,,,
National Museum of African American History and Culture,National Museum of African American History and Culture,https://survey.glamelab.org/institutions/national-museum-of-african-american-history-and-culture,United States of America,Smithsonian Institution,Museum,https://nmaahc.si.edu,https://www.wikidata.org/wiki/Q3073495,2020,https://web.archive.org/web/20220107180541/https://www.smithsonianmag.com/smithsonian-institution/smithsonian-releases-28-million-images-public-domain-180974263/,All eligible data,https://www.si.edu/Termsofuse,https://www.si.edu/openaccess/faq,Public domain,CC0,https://www.si.edu/Termsofuse,Free,https://www.si.edu/openaccess/devtools,https://github.com/Smithsonian,Own website,"2,494",https://collections.si.edu/search/results.htm?q=&media.CC0=true&fq=data_source:%22National+Museum+of+African+American+History+and+Culture%22,,,,,,,,,,,,,,,
